otu_ID,asv_ID,asv_ID_top,best_id,best_id_dada,NCBI_id,final_id,n,ASV_number,Parasite
207,ASV_4321,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_4364,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_4521,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_515,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_5343,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_5447,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_5509,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_5679,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_806,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_890,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_902,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
208,ASV_1402,ASV_197,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,14,197,Y
208,ASV_197,ASV_197,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,14,197,Y
208,ASV_2676,ASV_197,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,14,197,Y
208,ASV_3074,ASV_197,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,14,197,Y
208,ASV_3443,ASV_197,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,14,197,Y
208,ASV_3732,ASV_197,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,14,197,Y
208,ASV_3993,ASV_197,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,14,197,Y
208,ASV_4642,ASV_197,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,14,197,Y
208,ASV_4889,ASV_197,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,14,197,Y
208,ASV_5636,ASV_197,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,14,197,Y
208,ASV_886,ASV_197,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,14,197,Y
209,ASV_105,ASV_105,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,26,105,Y
209,ASV_1256,ASV_105,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,26,105,Y
209,ASV_1313,ASV_105,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,26,105,Y
209,ASV_1570,ASV_105,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,26,105,Y
209,ASV_2850,ASV_105,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,26,105,Y
209,ASV_9250,ASV_105,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,26,105,Y
209,ASV_974,ASV_105,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,26,105,Y
210,ASV_5113,ASV_5113,unclassified_Parabasalia,Pentatrichomonas_hominis,NA,Pentatrichomonas_hominis,1,5113,Y
210,ASV_7345,ASV_5113,unclassified_Parabasalia,Pentatrichomonas_hominis,NA,Pentatrichomonas_hominis,1,5113,Y
210,ASV_9121,ASV_5113,unclassified_Parabasalia,Pentatrichomonas_hominis,NA,Pentatrichomonas_hominis,1,5113,Y
211,ASV_1521,ASV_1521,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,4,1521,Y
211,ASV_2523,ASV_1521,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,4,1521,Y
211,ASV_2867,ASV_1521,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,4,1521,Y
211,ASV_3172,ASV_1521,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,4,1521,Y
211,ASV_3830,ASV_1521,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,4,1521,Y
211,ASV_5176,ASV_1521,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,4,1521,Y
211,ASV_6254,ASV_1521,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,4,1521,Y
211,ASV_7032,ASV_1521,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,4,1521,Y
211,ASV_7082,ASV_1521,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,4,1521,Y
211,ASV_7531,ASV_1521,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,4,1521,Y
211,ASV_7643,ASV_1521,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,4,1521,Y
212,ASV_1337,ASV_1337,unclassified_Parabasalia,Hypotrichomonas_sanderai,Hypotrichomonas,Hypotrichomonas,3,1337,Y
212,ASV_2169,ASV_1337,unclassified_Parabasalia,Hypotrichomonas_sanderai,Hypotrichomonas,Hypotrichomonas,3,1337,Y
212,ASV_2472,ASV_1337,unclassified_Parabasalia,Hypotrichomonas_sanderai,Hypotrichomonas,Hypotrichomonas,3,1337,Y
212,ASV_2918,ASV_1337,unclassified_Parabasalia,Hypotrichomonas_sanderai,Hypotrichomonas,Hypotrichomonas,3,1337,Y
212,ASV_2976,ASV_1337,unclassified_Parabasalia,Hypotrichomonas_sanderai,Hypotrichomonas,Hypotrichomonas,3,1337,Y
212,ASV_3282,ASV_1337,unclassified_Parabasalia,Hypotrichomonas_sanderai,Hypotrichomonas,Hypotrichomonas,3,1337,Y
212,ASV_4104,ASV_1337,unclassified_Parabasalia,Hypotrichomonas_sanderai,Hypotrichomonas,Hypotrichomonas,3,1337,Y
212,ASV_4512,ASV_1337,unclassified_Parabasalia,Hypotrichomonas_sanderai,Hypotrichomonas,Hypotrichomonas,3,1337,Y
212,ASV_5540,ASV_1337,unclassified_Parabasalia,Hypotrichomonas_sanderai,Hypotrichomonas,Hypotrichomonas,3,1337,Y
212,ASV_5632,ASV_1337,unclassified_Parabasalia,Hypotrichomonas_sanderai,Hypotrichomonas,Hypotrichomonas,3,1337,Y
214,ASV_2363,ASV_2363,unclassified_Parabasalia,Tritrichomonas,NA,Tritrichomonas,2,2363,Y
214,ASV_3657,ASV_2363,unclassified_Parabasalia,Tritrichomonas,NA,Tritrichomonas,2,2363,Y
214,ASV_4613,ASV_2363,unclassified_Parabasalia,Tritrichomonas,NA,Tritrichomonas,2,2363,Y
215,ASV_11800,ASV_11800,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,1,11800,Y
215,ASV_4670,ASV_11800,unclassified_Parabasalia,Hypotrichomonas_sanderai,NA,Hypotrichomonas,1,11800,Y
216,ASV_3025,ASV_525,Tritrichomonas,Tritrichomonas_muris,NA,Tritrichomonas,7,525,Y
216,ASV_3846,ASV_525,Tritrichomonas,Tritrichomonas_muris,NA,Tritrichomonas,7,525,Y
216,ASV_525,ASV_525,Tritrichomonas,Tritrichomonas_muris,NA,Tritrichomonas,7,525,Y
216,ASV_839,ASV_525,Tritrichomonas,Tritrichomonas_muris,NA,Tritrichomonas,7,525,Y
217,ASV_1155,ASV_16,Tritrichomonas,Tritrichomonas,0,Tritrichomonas,159,16,Y
217,ASV_150,ASV_16,Tritrichomonas,Tritrichomonas,0,Tritrichomonas,159,16,Y
217,ASV_16,ASV_16,Tritrichomonas,Tritrichomonas,0,Tritrichomonas,159,16,Y
