ASV,best_id,best_id_dada,NCBI_id,final_id,n,ASV_number,Parasite
ASV_10359,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,10359,Y
ASV_11950,NA,Eimeria,Apicomplexa,Apicomplexa,1,11950,M
ASV_2736,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,2736,Y
ASV_4802,unclassified_Trichomonadea,Tetratrichomonas,,Tetratrichomonas,1,4802,Y
ASV_1038,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,2,1038,Y
ASV_3122,Eimeria,Eimeria,,Eimeria,1,3122,Y
ASV_1206,NA,Apicomplexa,,Apicomplexa,1,1206,M
ASV_2609,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,3,2609,Y
ASV_3131,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,3131,Y
ASV_12360,NA,Apicomplexa,,Apicomplexa,1,12360,M
ASV_3140,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,3,3140,Y
ASV_1282,NA,Apicomplexa,,Apicomplexa,1,1282,M
ASV_13006,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,13006,M
ASV_3155,Eimeria,Eimeria,,Eimeria,2,3155,Y
ASV_2638,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,2638,Y
ASV_3163,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,2,3163,Y
ASV_13118,NA,Apicomplexa,,Apicomplexa,1,13118,M
ASV_317,Hypotrichomonas,Hypotrichomonas_imitans,,Hypotrichomonas,13,317,Y
ASV_2755,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,2,2755,Y
ASV_13142,NA,Apicomplexa,,Apicomplexa,1,13142,M
ASV_318,Spirurida,Spirurida,,Spirurida,6,318,Y
ASV_1338,NA,Cryptosporidium,,Apicomplexa,1,1338,M
ASV_13632,NA,Cryptosporidium,,Apicomplexa,1,13632,M
ASV_2834,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,2,2834,Y
ASV_3195,Eimeria,Eimeria,,Eimeria,3,3195,Y
ASV_3020,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,3020,Y
ASV_1395,NA,Apicomplexa,,Apicomplexa,1,1395,M
ASV_3212,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,1,3212,Y
ASV_1056,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,1056,Y
